ZCTA5,STATE,COUNTY,TRACT,GEOID,POPPT,HUPT,AREAPT,AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,TRPOP,TRHU,TRAREA,TRAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,TRPOPPCT,TRHUPCT,TRAREAPCT,TRAREALANDPCT
01370,25,011,041502,25011041502,3436,1663,92426489,91322347,4084,1976,130429524,129031063,3795,1819,112046520,110925236,84.13,84.16,70.86,70.78,90.54,91.42,82.49,82.33
01373,25,011,040800,25011040800,969,414,26414093,25480347,4600,2076,64048346,62576781,5180,2390,91670720,89001334,21.07,19.94,41.24,40.72,18.71,17.32,28.81,28.63
01373,25,011,040900,25011040900,3631,1662,37634253,37096434,4600,2076,64048346,62576781,5125,2181,86646830,83896705,78.93,80.06,58.76,59.28,70.85,76.2,43.43,44.22
01375,25,011,040800,25011040800,3684,1729,38205458,36856254,3684,1729,38205458,36856254,5180,2390,91670720,89001334,100,100,100,100,71.12,72.34,41.68,41.41
01376,25,011,040701,25011040701,4213,1980,6130030,5015562,5247,2503,8615597,7149877,4213,1980,6130030,5015562,80.29,79.11,71.15,70.15,100,100,100,100
01376,25,011,040702,25011040702,1034,523,2485567,2134315,5247,2503,8615597,7149877,4224,1978,75344340,73089687,19.71,20.89,28.85,29.85,24.48,26.44,3.3,2.92
01378,25,011,040400,25011040400,774,441,88927760,88114809,774,441,88927760,88114809,3428,1669,218216668,214954084,100,100,100,100,22.58,26.42,40.75,40.99
01379,25,011,040400,25011040400,813,420,79195754,78233305,813,420,79195754,78233305,3428,1669,218216668,214954084,100,100,100,100,23.72,25.16,36.29,36.4
01420,25,027,709100,25027709100,19,11,7478469,6445212,40337,17128,80299131,78520256,4066,1564,33767185,31836311,0.05,0.06,9.31,8.21,0.47,0.7,22.15,20.24
01420,25,027,710100,25027710100,3435,1507,5088450,5088450,40337,17128,80299131,78520256,3435,1507,5088450,5088450,8.52,8.8,6.34,6.48,100,100,100,100
01420,25,027,710200,25027710200,6759,2997,11689343,11640133,40337,17128,80299131,78520256,6759,2997,11689343,11640133,16.76,17.5,14.56,14.82,100,100,100,100
01420,25,027,710300,25027710300,3224,1287,12287659,11964410,40337,17128,80299131,78520256,3224,1287,12287659,11964410,7.99,7.51,15.3,15.24,100,100,100,100
01420,25,027,710400,25027710400,2149,919,1538658,1536104,40337,17128,80299131,78520256,2149,919,1538658,1536104,5.33,5.37,1.92,1.96,100,100,100,100
01420,25,027,710500,25027710500,3246,1501,939771,939771,40337,17128,80299131,78520256,3246,1501,939771,939771,8.05,8.76,1.17,1.2,100,100,100,100
01420,25,027,710600,25027710600,6594,2919,3221679,3211646,40337,17128,80299131,78520256,6594,2919,3221679,3211646,16.35,17.04,4.01,4.09,100,100,100,100
01420,25,027,710700,25027710700,1580,1113,580280,580280,40337,17128,80299131,78520256,1580,1113,580280,580280,3.92,6.5,0.72,0.74,100,100,100,100
01420,25,027,710800,25027710800,4539,1940,2337125,2337125,40337,17128,80299131,78520256,4539,1940,2337125,2337125,11.25,11.33,2.91,2.98,100,100,100,100
01420,25,027,711000,25027711000,3080,1289,1040904,1040904,40337,17128,80299131,78520256,3080,1289,1040904,1040904,7.64,7.53,1.3,1.33,100,100,100,100
01420,25,027,711100,25027711100,5712,1645,34096793,33736221,40337,17128,80299131,78520256,5712,1645,34096793,33736221,14.16,9.6,42.46,42.96,100,100,100,100
01430,25,027,700100,25027700100,6059,2586,102085070,95359901,6089,2606,102557826,95807807,6081,2599,106106251,99381082,99.51,99.23,99.54,99.53,99.64,99.5,96.21,95.95
01430,25,027,701100,25027701100,30,20,472756,447906,6089,2606,102557826,95807807,8340,3446,79258269,77339424,0.49,0.77,0.46,0.47,0.36,0.58,0.6,0.58
01431,25,017,300100,25017300100,3074,1191,62391754,61389725,3074,1191,62391754,61389725,3074,1191,62391754,61389725,100,100,100,100,100,100,100,100
01432,25,017,325100,25017325100,7089,3422,23107879,21888062,7089,3422,23107879,21888062,7427,3462,26099360,24653539,100,100,100,100,95.45,98.84,88.54,88.78
01434,25,017,325100,25017325100,338,40,2991481,2765477,1795,122,14079442,13678208,7427,3462,26099360,24653539,18.83,32.79,21.25,20.22,4.55,1.16,11.46,11.22
01434,25,017,388200,25017388200,0,0,641959,641959,1795,122,14079442,13678208,7211,2427,39730864,39526830,0,0,4.56,4.69,0,0,1.62,1.62
01434,25,027,761400,25027761400,1457,82,10446002,10270772,1795,122,14079442,13678208,6520,2047,70368434,68467391,81.17,67.21,74.19,75.09,22.35,4.01,14.84,15
01436,25,027,704200,25027704200,0,0,159149,159149,3336,1214,25356438,24849921,2916,1348,240624587,203282417,0,0,0.63,0.64,0,0,0.07,0.08
01436,25,027,705100,25027705100,3336,1214,25197289,24690772,3336,1214,25356438,24849921,8013,3139,83862437,82575050,100,100,99.37,99.36,41.63,38.67,30.05,29.9
01438,25,027,705100,25027705100,559,214,1451865,1403430,559,214,1451865,1403430,8013,3139,83862437,82575050,100,100,100,100,6.98,6.82,1.73,1.7
01440,25,027,700100,25027700100,22,13,4021181,4021181,20347,9179,64756674,62268795,6081,2599,106106251,99381082,0.11,0.14,6.21,6.46,0.36,0.5,3.79,4.05
01440,25,027,705100,25027705100,97,40,1099194,1055224,20347,9179,64756674,62268795,8013,3139,83862437,82575050,0.48,0.44,1.7,1.69,1.21,1.27,1.31,1.28
01440,25,027,707100,25027707100,3909,1737,10982521,10269981,20347,9179,64756674,62268795,3909,1737,10982521,10269981,19.21,18.92,16.96,16.49,100,100,100,100
01440,25,027,707200,25027707200,1839,970,885538,885538,20347,9179,64756674,62268795,1839,970,885538,885538,9.04,10.57,1.37,1.42,100,100,100,100
01440,25,027,707300,25027707300,3931,2235,3490906,3348946,20347,9179,64756674,62268795,3931,2235,3490906,3348946,19.32,24.35,5.39,5.38,100,100,100,100
01440,25,027,707400,25027707400,4591,2059,15299335,14795109,20347,9179,64756674,62268795,4591,2059,15299335,14795109,22.56,22.43,23.63,23.76,100,100,100,100
01440,25,027,707500,25027707500,5958,2125,28977999,27892816,20347,9179,64756674,62268795,5958,2125,28977999,27892816,29.28,23.15,44.75,44.79,100,100,100,100
01450,25,017,326101,25017326101,3896,1463,36197306,35968696,10646,3989,87429674,84853731,3896,1463,36197306,35968696,36.6,36.68,41.4,42.39,100,100,100,100
01450,25,017,326102,25017326102,6750,2526,51232368,48885035,10646,3989,87429674,84853731,6750,2526,51232368,48885035,63.4,63.32,58.6,57.61,100,100,100,100
01451,25,027,761400,25027761400,4747,1824,51233907,49550919,4747,1824,51233907,49550919,6520,2047,70368434,68467391,100,100,100,100,72.81,89.11,72.81,72.37
01452,25,027,706100,25027706100,4382,1662,108780003,106373488,4382,1662,108780003,106373488,4382,1662,108780003,106373488,100,100,100,100,100,100,100,100
01453,25,027,709100,25027709100,4047,1553,26288716,25391099,40883,17912,75105748,73735859,4066,1564,33767185,31836311,9.9,8.67,35,34.44,99.53,99.3,77.85,79.76
01453,25,027,709201,25027709201,6921,2842,8878805,8745745,40883,17912,75105748,73735859,6921,2842,8878805,8745745,16.93,15.87,11.82,11.86,100,100,100,100
01453,25,027,709202,25027709202,6829,3143,10718590,10702463,40883,17912,75105748,73735859,6829,3143,10718590,10702463,16.7,17.55,14.27,14.51,100,100,100,100
01453,25,027,709400,25027709400,4750,2128,2892596,2892596,40883,17912,75105748,73735859,4750,2128,2892596,2892596,11.62,11.88,3.85,3.92,100,100,100,100
01453,25,027,709501,25027709501,2149,809,5484847,5484847,40883,17912,75105748,73735859,2149,809,5484847,5484847,5.26,4.52,7.3,7.44,100,100,100,100
01453,25,027,709502,25027709502,5670,2488,6090321,6089034,40883,17912,75105748,73735859,5670,2488,6090321,6089034,13.87,13.89,8.11,8.26,100,100,100,100
01453,25,027,709600,25027709600,2423,1153,3068517,3054277,40883,17912,75105748,73735859,2423,1153,3068517,3054277,5.93,6.44,4.09,4.14,100,100,100,100
01453,25,027,709701,25027709701,5609,2557,4672195,4534058,40883,17912,75105748,73735859,5609,2557,4672195,4534058,13.72,14.28,6.22,6.15,100,100,100,100
01453,25,027,709702,25027709702,2342,1189,1290225,1290225,40883,17912,75105748,73735859,2342,1189,1290225,1290225,5.73,6.64,1.72,1.75,100,100,100,100
01453,25,027,713100,25027713100,143,50,5720936,5551515,40883,17912,75105748,73735859,8055,2614,72442304,71134777,0.35,0.28,7.62,7.53,1.78,1.91,7.9,7.8
01460,25,017,324101,25017324101,4761,1862,24230507,22673832,8924,3477,45374728,42791669,4761,1862,24230507,22673832,53.35,53.55,53.4,52.99,100,100,100,100
01460,25,017,324102,25017324102,4163,1615,21144221,20117837,8924,3477,45374728,42791669,4163,1615,21144221,20117837,46.65,46.45,46.6,47.01,100,100,100,100
01462,25,027,712101,25027712101,5955,2532,35930294,34302294,10086,4133,71849369,68579436,5955,2532,35930294,34302294,59.04,61.26,50.01,50.02,100,100,100,100
01462,25,027,712102,25027712102,4131,1601,35919075,34277142,10086,4133,71849369,68579436,4131,1601,35919075,34277142,40.96,38.74,49.99,49.98,100,100,100,100
01463,25,017,327101,25017327101,3586,1236,26891971,26644010,11497,4348,60079702,58533407,3586,1236,26891971,26644010,31.19,28.43,44.76,45.52,100,100,100,100
01463,25,017,327102,25017327102,4333,1685,9237323,9061752,11497,4348,60079702,58533407,4333,1685,9237323,9061752,37.69,38.75,15.38,15.48,100,100,100,100
01463,25,017,327103,25017327103,3578,1427,23950408,22827645,11497,4348,60079702,58533407,3578,1427,23950408,22827645,31.12,32.82,39.86,39,100,100,100,100
01464,25,017,388200,25017388200,7211,2427,39088905,38884871,7211,2427,39088905,38884871,7211,2427,39730864,39526830,100,100,100,100,100,100,98.38,98.38
01467,25,027,761400,25027761400,316,141,4937665,4908783,316,141,4937665,4908783,6520,2047,70368434,68467391,100,100,100,100,4.85,6.89,7.02,7.17
01468,25,027,705100,25027705100,4021,1671,56114089,55425624,4021,1671,56114089,55425624,8013,3139,83862437,82575050,100,100,100,100,50.18,53.23,66.91,67.12
01469,25,017,301101,25017301101,3100,1238,35594258,35534931,6801,2572,59868179,59261468,4024,1564,44583308,44523981,45.58,48.13,59.45,59.96,77.04,79.16,79.84,79.81
01469,25,017,301102,25017301102,3701,1334,24273921,23726537,6801,2572,59868179,59261468,4902,1821,41053756,40428187,54.42,51.87,40.55,40.04,75.5,73.26,59.13,58.69
01473,25,027,708100,25027708100,7277,2960,96486316,91766611,7277,2960,96486316,91766611,7277,2960,96486316,91766611,100,100,100,100,100,100,100,100
01474,25,017,301101,25017301101,924,326,8989050,8989050,2125,813,25768885,25690700,4024,1564,44583308,44523981,43.48,40.1,34.88,34.99,22.96,20.84,20.16,20.19
01474,25,017,301102,25017301102,1201,487,16779835,16701650,2125,813,25768885,25690700,4902,1821,41053756,40428187,56.52,59.9,65.12,65.01,24.5,26.74,40.87,41.31
01475,25,027,701100,25027701100,8310,3426,78785513,76891518,10270,4179,113702298,110986284,8340,3446,79258269,77339424,80.92,81.98,69.29,69.28,99.64,99.42,99.4,99.42
01475,25,027,702200,25027702200,1960,753,34916785,34094766,10270,4179,113702298,110986284,3218,1327,144990943,142339791,19.08,18.02,30.71,30.72,60.91,56.74,24.08,23.95
01501,25,027,736100,25027736100,2600,1008,13710745,12531693,16075,6770,42438308,40018190,2600,1008,13710745,12531693,16.17,14.89,32.31,31.31,100,100,100,100
01501,25,027,736200,25027736200,3722,1535,6935721,6496193,16075,6770,42438308,40018190,3722,1535,6935721,6496193,23.15,22.67,16.34,16.23,100,100,100,100
01501,25,027,736300,25027736300,2426,1008,4279876,4134805,16075,6770,42438308,40018190,2426,1008,4279876,4134805,15.09,14.89,10.08,10.33,100,100,100,100
01501,25,027,736400,25027736400,3054,1277,4030145,3998421,16075,6770,42438308,40018190,3071,1283,4045580,4013856,19,18.86,9.5,9.99,99.45,99.53,99.62,99.62
01501,25,027,736500,25027736500,4273,1942,13481821,12857078,16075,6770,42438308,40018190,4369,2006,13535865,12907649,26.58,28.69,31.77,32.13,97.8,96.81,99.6,99.61
01503,25,027,717100,25027717100,2866,1189,34122186,33598202,2866,1189,34122186,33598202,2866,1189,34122186,33598202,100,100,100,100,100,100,100,100
01504,25,027,747101,25027747101,5110,2067,15333072,14745279,9026,3628,29504310,28685128,5110,2067,15333072,14745279,56.61,56.97,51.97,51.4,100,100,100,100
01504,25,027,747102,25027747102,3916,1561,14171238,13939849,9026,3628,29504310,28685128,3916,1561,14171238,13939849,43.39,43.03,48.03,48.6,100,100,100,100
01505,25,027,718100,25027718100,4355,1778,51161090,41598694,4355,1778,51161090,41598694,4355,1778,51161090,41598694,100,100,100,100,100,100,100,100
01506,25,027,760100,25027760100,3390,1493,42996243,40266781,3390,1493,42996243,40266781,3390,1493,42996243,40266781,100,100,100,100,100,100,100,100
01507,25,027,756101,25027756101,4512,1892,35913612,35005320,12981,4885,113433493,109254326,4512,1892,35913612,35005320,34.76,38.73,31.66,32.04,100,100,100,100
01507,25,027,756102,25027756102,8469,2993,77519881,74249006,12981,4885,113433493,109254326,8469,2993,77519881,74249006,65.24,61.27,68.34,67.96,100,100,100,100
01510,25,027,716100,25027716100,7558,3399,15013608,10849714,13606,6397,18824427,14645926,7558,3399,15013608,10849714,55.55,53.13,79.76,74.08,100,100,100,100
01510,25,027,716200,25027716200,2820,1352,2129644,2115037,13606,6397,18824427,14645926,2820,1352,2129644,2115037,20.73,21.13,11.31,14.44,100,100,100,100
01510,25,027,716300,25027716300,3228,1646,1681175,1681175,13606,6397,18824427,14645926,3228,1646,1681175,1681175,23.72,25.73,8.93,11.48,100,100,100,100
01515,25,027,759100,25027759100,2183,931,26948002,25514944,2183,931,26948002,25514944,2183,931,26948002,25514944,100,100,100,100,100,100,100,100
01516,25,027,749100,25027749100,29,13,1093024,919545,8500,3306,99221341,95201650,7988,2888,68482262,67069537,0.34,0.39,1.1,0.97,0.36,0.45,1.6,1.37
01516,25,027,752100,25027752100,8471,3293,98128317,94282105,8500,3306,99221341,95201650,8471,3293,98128317,94282105,99.66,99.61,98.9,99.03,100,100,100,100
01518,25,027,758101,25027758101,256,100,7603298,7236940,2974,1326,24901797,22976455,1650,793,40607741,39434703,8.61,7.54,30.53,31.5,15.52,12.61,18.72,18.35
01518,25,027,758102,25027758102,2718,1226,17298499,15739515,2974,1326,24901797,22976455,7618,3196,60286825,56972291,91.39,92.46,69.47,68.5,35.68,38.36,28.69,27.63
01519,25,027,738100,25027738100,109,34,1053528,1052487,6595,2539,28540350,28261149,4636,1878,10562846,10291360,1.65,1.34,3.69,3.72,2.35,1.81,9.97,10.23
01519,25,027,738201,25027738201,2750,970,8730441,8592364,6595,2539,28540350,28261149,4075,1592,11666822,11338312,41.7,38.2,30.59,30.4,67.48,60.93,74.83,75.78
01519,25,027,738202,25027738202,3736,1535,18756381,18616298,6595,2539,28540350,28261149,5995,2394,27479659,27316817,56.65,60.46,65.72,65.87,62.32,64.12,68.26,68.15
01520,25,027,728100,25027728100,3679,1360,26579489,24868319,13997,5339,48624686,46830036,4126,1561,38075141,35700813,26.28,25.47,54.66,53.1,89.17,87.12,69.81,69.66
01520,25,027,728200,25027728200,3713,1455,4164869,4164869,13997,5339,48624686,46830036,3713,1455,4164869,4164869,26.53,27.25,8.57,8.89,100,100,100,100
01520,25,027,728300,25027728300,4438,1719,7567349,7483869,13997,5339,48624686,46830036,4544,1758,7697923,7614443,31.71,32.2,15.56,15.98,97.67,97.78,98.3,98.29
01520,25,027,728400,25027728400,2167,805,10312979,10312979,13997,5339,48624686,46830036,4963,1872,44123465,43386208,15.48,15.08,21.21,22.02,43.66,43,23.37,23.77
01521,25,013,813801,25013813801,2481,1365,33832486,31841683,2481,1365,33832486,31841683,4319,2247,75171025,72578471,100,100,100,100,57.44,60.75,45.01,43.87
01522,25,027,728100,25027728100,408,192,9877749,9215256,3310,1298,43818809,42419059,4126,1561,38075141,35700813,12.33,14.79,22.54,21.72,9.89,12.3,25.94,25.81
01522,25,027,728300,25027728300,106,39,130574,130574,3310,1298,43818809,42419059,4544,1758,7697923,7614443,3.2,3,0.3,0.31,2.33,2.22,1.7,1.71
01522,25,027,728400,25027728400,2796,1067,33810486,33073229,3310,1298,43818809,42419059,4963,1872,44123465,43386208,84.47,82.2,77.16,77.97,56.34,57,76.63,76.23
01523,25,027,713100,25027713100,7582,2462,66402095,65263989,7582,2462,66402095,65263989,8055,2614,72442304,71134777,100,100,100,100,94.13,94.19,91.66,91.75
01524,25,027,735100,25027735100,5971,2343,34902314,32985719,6696,2594,43883191,41375156,6713,2589,38518857,36373957,89.17,90.32,79.53,79.72,88.95,90.5,90.61,90.68
01524,25,027,735200,25027735200,725,251,8980877,8389437,6696,2594,43883191,41375156,4257,1681,25274520,23847081,10.83,9.68,20.47,20.28,17.03,14.93,35.53,35.18
01525,25,027,750200,25027750200,290,120,1243593,1162429,290,120,1243593,1162429,6749,2594,31802126,30517680,100,100,100,100,4.3,4.63,3.91,3.81
01527,25,027,736500,25027736500,12,6,8217,8217,13246,5618,42185453,40323227,4369,2006,13535865,12907649,0.09,0.11,0.02,0.02,0.27,0.3,0.06,0.06
01527,25,027,737100,25027737100,5116,2185,25957841,24873088,13246,5618,42185453,40323227,5116,2185,26177400,25070055,38.62,38.89,61.53,61.68,100,100,99.16,99.21
01527,25,027,737200,25027737200,1747,931,1521523,1478982,13246,5618,42185453,40323227,1747,931,1521523,1478982,13.19,16.57,3.61,3.67,100,100,100,100
01527,25,027,737300,25027737300,6371,2496,14697872,13962940,13246,5618,42185453,40323227,6398,2511,14869956,14135024,48.1,44.43,34.84,34.63,99.58,99.4,98.84,98.78
01529,25,027,748100,25027748100,3190,1162,12857837,12706301,3190,1162,12857837,12706301,3190,1162,12857837,12706301,100,100,100,100,100,100,100,100
01531,25,027,723100,25027723100,999,390,54248456,53842961,999,390,54248456,53842961,3989,1608,160035820,153784300,100,100,100,100,25.04,24.25,33.9,35.01
01532,25,027,740101,25027740101,5191,1813,24798244,24673800,14155,5314,48557688,47852201,5191,1813,24798244,24673800,36.67,34.12,51.07,51.56,100,100,100,100
01532,25,027,740102,25027740102,6053,2242,19067537,18526407,14155,5314,48557688,47852201,6053,2242,19067537,18526407,42.76,42.19,39.27,38.72,100,100,100,100
01532,25,027,740200,25027740200,2911,1259,4691907,4651994,14155,5314,48557688,47852201,2911,1259,4691907,4651994,20.57,23.69,9.66,9.72,100,100,100,100
01534,25,027,750100,25027750100,45,13,57763,57763,5631,2123,23008084,22682354,6048,2382,8726465,8094777,0.8,0.61,0.25,0.25,0.74,0.55,0.66,0.71
01534,25,027,750200,25027750200,3080,1069,17124975,16932361,5631,2123,23008084,22682354,6749,2594,31802126,30517680,54.7,50.35,74.43,74.65,45.64,41.21,53.85,55.48
01534,25,027,750300,25027750300,2506,1041,5825346,5692230,5631,2123,23008084,22682354,2910,1196,6235743,6102627,44.5,49.03,25.32,25.1,86.12,87.04,93.42,93.28
01535,25,027,725100,25027725100,4680,2058,56843581,55084070,4680,2058,56843581,55084070,4680,2058,56843581,55084070,100,100,100,100,100,100,100,100
01536,25,027,738201,25027738201,1325,622,2936381,2745948,6888,2794,22353603,21598203,4075,1592,11666822,11338312,19.24,22.26,13.14,12.71,32.52,39.07,25.17,24.22
01536,25,027,738202,25027738202,2259,859,8723278,8700519,6888,2794,22353603,21598203,5995,2394,27479659,27316817,32.8,30.74,39.02,40.28,37.68,35.88,31.74,31.85
01536,25,027,739100,25027739100,245,0,12095,12095,6888,2794,22353603,21598203,9557,3611,21024709,19264346,3.56,0,0.05,0.06,2.56,0,0.06,0.06
01536,25,027,761300,25027761300,3059,1313,10681849,10139641,6888,2794,22353603,21598203,3059,1313,10681849,10139641,44.41,46.99,47.79,46.95,100,100,100,100
01537,25,027,753100,25027753100,2248,1077,18381682,18085937,2248,1077,18381682,18085937,7458,3037,59850669,58114960,100,100,100,100,30.14,35.46,30.71,31.12
01540,25,027,753100,25027753100,5040,1891,40966720,39533074,11291,4395,52176826,50128319,7458,3037,59850669,58114960,44.64,43.03,78.52,78.86,67.58,62.27,68.45,68.03
01540,25,027,753200,25027753200,6251,2504,11210106,10595245,11291,4395,52176826,50128319,6251,2504,11210106,10595245,55.36,56.97,21.48,21.14,100,100,100,100
01541,25,027,720100,25027720100,3413,1339,92742065,91709834,3413,1339,92742065,91709834,3413,1339,92742065,91709834,100,100,100,100,100,100,100,100
01542,25,027,735100,25027735100,742,246,3616543,3388238,2202,829,10849288,10426627,6713,2589,38518857,36373957,33.7,29.67,33.33,32.5,11.05,9.5,9.39,9.32
01542,25,027,735200,25027735200,1290,514,6730478,6542440,2202,829,10849288,10426627,4257,1681,25274520,23847081,58.58,62,62.04,62.75,30.3,30.58,26.63,27.43
01542,25,027,753100,25027753100,170,69,502267,495949,2202,829,10849288,10426627,7458,3037,59850669,58114960,7.72,8.32,4.63,4.76,2.28,2.27,0.84,0.85
01543,25,027,721102,25027721102,7973,2990,93891019,90918826,7973,2990,93891019,90918826,7973,2990,93891019,90918826,100,100,100,100,100,100,100,100
01545,25,027,732002,25027732002,0,0,180863,51399,35299,13955,56428117,53712526,4036,1673,6316784,5941264,0,0,0.32,0.1,0,0,2.86,0.87
01545,25,027,739100,25027739100,9248,3579,20943249,19240696,35299,13955,56428117,53712526,9557,3611,21024709,19264346,26.2,25.65,37.11,35.82,96.77,99.11,99.61,99.88
01545,25,027,739200,25027739200,5958,2695,5207089,4829754,35299,13955,56428117,53712526,5958,2695,5207089,4829754,16.88,19.31,9.23,8.99,100,100,100,100
01545,25,027,739300,25027739300,3688,1619,2716033,2716033,35299,13955,56428117,53712526,3688,1619,2716033,2716033,10.45,11.6,4.81,5.06,100,100,100,100
01545,25,027,739400,25027739400,8851,3363,10139350,10094543,35299,13955,56428117,53712526,8851,3363,10139350,10094543,25.07,24.1,17.97,18.79,100,100,100,100
01545,25,027,739500,25027739500,7554,2699,17241533,16780101,35299,13955,56428117,53712526,7554,2699,17241533,16780101,21.4,19.34,30.55,31.24,100,100,100,100
01550,25,027,757100,25027757100,4514,2015,10083618,9910962,16719,7527,54140156,52512755,4514,2015,10083618,9910962,27,26.77,18.63,18.87,100,100,100,100
01550,25,027,757200,25027757200,2293,1087,865391,837452,16719,7527,54140156,52512755,2293,1087,865391,837452,13.71,14.44,1.6,1.59,100,100,100,100
01550,25,027,757300,25027757300,2871,1346,952703,932624,16719,7527,54140156,52512755,2871,1346,952703,932624,17.17,17.88,1.76,1.78,100,100,100,100
01550,25,027,757400,25027757400,2707,1180,1882027,1872831,16719,7527,54140156,52512755,2707,1180,1882027,1872831,16.19,15.68,3.48,3.57,100,100,100,100
01550,25,027,757500,25027757500,4334,1899,40356417,38958886,16719,7527,54140156,52512755,4334,1899,40356417,38958886,25.92,25.23,74.54,74.19,100,100,100,100
01560,25,027,738100,25027738100,4527,1844,9509318,9238873,4527,1844,9509318,9238873,4636,1878,10562846,10291360,100,100,100,100,97.65,98.19,90.03,89.77
01561,25,027,713100,25027713100,330,102,319273,319273,330,102,319273,319273,8055,2614,72442304,71134777,100,100,100,100,4.1,3.9,0.44,0.45
01562,25,027,726100,25027726100,5988,2497,82449816,79575176,11688,5295,88075200,85038323,5988,2497,82449816,79575176,51.23,47.16,93.61,93.58,100,100,100,100
01562,25,027,726200,25027726200,5700,2798,5625384,5463147,11688,5295,88075200,85038323,5700,2798,5625384,5463147,48.77,52.84,6.39,6.42,100,100,100,100
01564,25,027,719100,25027719100,7808,2965,82104910,79343448,7808,2965,82104910,79343448,7808,2965,82104910,79343448,100,100,100,100,100,100,100,100
01566,25,027,758101,25027758101,1394,693,33004443,32197763,6294,2663,75992769,73430539,1650,793,40607741,39434703,22.15,26.02,43.43,43.85,84.48,87.39,81.28,81.65
01566,25,027,758102,25027758102,4900,1970,42988326,41232776,6294,2663,75992769,73430539,7618,3196,60286825,56972291,77.85,73.98,56.57,56.15,64.32,61.64,71.31,72.37
01568,25,027,743100,25027743100,7480,2808,56123182,55529918,7480,2808,56123182,55529918,7542,2832,56456937,55863673,100,100,100,100,99.18,99.15,99.41,99.4
01569,25,027,749100,25027749100,7929,2863,66936733,65697487,13569,5349,76896743,75315947,7988,2888,68482262,67069537,58.43,53.52,87.05,87.23,99.26,99.13,97.74,97.95
01569,25,027,749200,25027749200,5469,2414,9902075,9560525,13569,5349,76896743,75315947,5469,2414,9902075,9560525,40.31,45.13,12.88,12.69,100,100,100,100
01569,25,027,750200,25027750200,171,72,57935,57935,13569,5349,76896743,75315947,6749,2594,31802126,30517680,1.26,1.35,0.08,0.08,2.53,2.78,0.18,0.19
01570,25,027,754100,25027754100,6502,3016,30700265,25609154,16767,8011,37829480,32048670,6502,3016,30700265,25609154,38.78,37.65,81.15,79.91,100,100,100,100
01570,25,027,754200,25027754200,3462,1683,3100928,2485338,16767,8011,37829480,32048670,3462,1683,3100928,2485338,20.65,21.01,8.2,7.75,100,100,100,100
01570,25,027,754300,25027754300,2960,1585,1114773,1080177,16767,8011,37829480,32048670,2960,1585,1114773,1080177,17.65,19.79,2.95,3.37,100,100,100,100
01570,25,027,754400,25027754400,3843,1727,2913514,2874001,16767,8011,37829480,32048670,3843,1727,2913514,2874001,22.92,21.56,7.7,8.97,100,100,100,100
01571,25,027,755100,25027755100,3300,1556,3418518,3059227,11390,4403,56632939,53915863,3300,1556,3418518,3059227,28.97,35.34,6.04,5.67,100,100,100,100
01571,25,027,755200,25027755200,8090,2847,53214421,50856636,11390,4403,56632939,53915863,8090,2847,53214421,50856636,71.03,64.66,93.96,94.33,100,100,100,100
01581,25,027,741102,25027741102,0,0,19142,19142,18272,7350,55542170,53312878,5289,1749,20686809,20263247,0,0,0.03,0.04,0,0,0.09,0.09
01581,25,027,742300,25027742300,4045,1842,4933273,4890155,18272,7350,55542170,53312878,4045,1842,4933273,4890155,22.14,25.06,8.88,9.17,100,100,100,100
01581,25,027,742401,25027742401,5421,1789,14013720,13794632,18272,7350,55542170,53312878,5421,1789,14013720,13794632,29.67,24.34,25.23,25.87,100,100,100,100
01581,25,027,742402,25027742402,3026,1233,12283846,11181828,18272,7350,55542170,53312878,3026,1233,12283846,11181828,16.56,16.78,22.12,20.97,100,100,100,100
01581,25,027,761200,25027761200,5780,2486,24292189,23427121,18272,7350,55542170,53312878,5780,2486,24292189,23427121,31.63,33.82,43.74,43.94,100,100,100,100
01583,25,027,729100,25027729100,4869,1554,29761685,27406943,7591,2721,35027009,32672267,4997,1597,30649769,28291892,64.14,57.11,84.97,83.88,97.44,97.31,97.1,96.87
01583,25,027,729200,25027729200,2672,1149,5238128,5238128,7591,2721,35027009,32672267,2672,1149,5238128,5238128,35.2,42.23,14.95,16.03,100,100,100,100
01583,25,027,730100,25027730100,50,18,27196,27196,7591,2721,35027009,32672267,5923,2459,5642491,5633432,0.66,0.66,0.08,0.08,0.84,0.73,0.48,0.48
01585,25,027,724100,25027724100,3701,1699,54698834,53059307,4554,2049,67843721,66174237,3701,1699,54698834,53059307,81.27,82.92,80.62,80.18,100,100,100,100
01585,25,027,761100,25027761100,853,350,13144887,13114930,4554,2049,67843721,66174237,5135,2211,71613361,71345899,18.73,17.08,19.38,19.82,16.61,15.83,18.36,18.38
01588,25,027,749100,25027749100,30,12,451930,451930,9733,3903,23956819,22296389,7988,2888,68482262,67069537,0.31,0.31,1.89,2.03,0.38,0.42,0.66,0.67
01588,25,027,750100,25027750100,6003,2369,8668702,8037014,9733,3903,23956819,22296389,6048,2382,8726465,8094777,61.68,60.7,36.18,36.05,99.26,99.45,99.34,99.29
01588,25,027,750200,25027750200,3208,1333,13375623,12364955,9733,3903,23956819,22296389,6749,2594,31802126,30517680,32.96,34.15,55.83,55.46,47.53,51.39,42.06,40.52
